ID,invoice_ID,fileName,mimeType,fileSize,uploadedBy,uploadedAt
8c6934ae-dbc2-45be-85b9-68ece40f916c,041bc03a-3a13-454b-8c35-8607535140dd,INV-001.pdf,application/pdf,100000,manager,2025-01-05T10:30:00Z
c33e3901-f201-48e3-9c02-256eb91e0cd1,5eeef8ba-31bc-4546-8a64-535a10ac4f90,INV-002.pdf,application/pdf,101000,manager,2025-02-05T10:30:00Z
feae71da-c113-4184-bf03-8c49dbf6a84e,a9e8d359-71c8-4a7b-82a0-d4525d64ff6b,INV-003.pdf,application/pdf,102000,manager,2025-03-05T10:30:00Z
3cdc3939-fa2f-474b-874b-c248d8f06c73,a57629ad-1519-44a7-8602-9c17933c9a21,INV-004.pdf,application/pdf,103000,manager,2025-04-05T10:30:00Z
2c043560-bd03-4655-88fe-0080ec12ba94,35de2835-d3c0-4598-a3e9-e158813de3cd,INV-005.pdf,application/pdf,104000,manager,2025-05-05T10:30:00Z
71b0905f-4fe5-4f05-baad-53f9cf704556,dbb4c3b3-ef06-455c-9b21-1d0f6d606512,INV-006.pdf,application/pdf,105000,manager,2025-06-05T10:30:00Z
4eb73f01-8510-4120-83ab-65ecb13b7aa2,56af0197-bb11-4b85-84cd-c97b2145069e,INV-007.pdf,application/pdf,106000,manager,2025-07-05T10:30:00Z
ce44c85f-3601-4b65-9d29-fa0f99a677ad,fd01beba-ad6d-4bcf-b5c0-186b0c9da66b,INV-008.pdf,application/pdf,107000,manager,2025-08-05T10:30:00Z
5061b7ca-c858-4f8d-87be-08bd7cb5761b,36b0d321-8f0e-428a-8b54-655be098ad2d,INV-009.pdf,application/pdf,108000,manager,2025-09-05T10:30:00Z
601ee0d2-4a5c-4699-943b-f1ff49338117,962e4ac8-97a7-4c90-89af-1fd090a8e9d7,INV-010.pdf,application/pdf,109000,manager,2025-10-05T10:30:00Z
0ed9354e-9839-49b9-a067-ee2d046a3292,a253f1ff-8100-42e0-9b61-013149bd4b92,INV-011.pdf,application/pdf,110000,manager,2025-11-05T10:30:00Z
52a05c7d-4b4b-4e17-a4dd-b4b1b8ebe0be,2e913a6e-d870-49b7-9614-54dfdd7575a8,INV-012.pdf,application/pdf,111000,manager,2025-12-05T10:30:00Z
1da200e0-bfdc-430f-8a88-f7abc931c88e,d10cdcd6-80a1-4f06-ab28-af48266fd19d,INV-013.pdf,application/pdf,112000,manager,2025-01-05T10:30:00Z
3b37c4c5-72a4-4304-b965-1c666f40fb9b,014963ab-76a9-4db9-b10a-ebc3713c4abf,INV-014.pdf,application/pdf,113000,manager,2025-02-05T10:30:00Z
d2277698-c5d5-42b1-9e90-710ba7456134,c773705a-6a28-4956-9506-f489a2a5591f,INV-015.pdf,application/pdf,114000,manager,2025-03-05T10:30:00Z
a589bfdd-d07b-48f3-8c56-378f53c85c08,33d31ade-3507-4e40-89ab-dea2b3e5d842,INV-016.pdf,application/pdf,115000,manager,2025-04-05T10:30:00Z
ac71e05e-dfb9-442d-b5f3-0c626059cd55,08fbe3ec-7fc0-4d5f-be99-591813d5d19f,INV-017.pdf,application/pdf,116000,manager,2025-05-05T10:30:00Z
738f9f85-ed69-499d-9f01-da01cbbd09f0,f7340042-2fcb-4217-ba85-def9832302a1,INV-018.pdf,application/pdf,117000,manager,2025-06-05T10:30:00Z
c1119b53-d43f-4242-9784-d68a619033e0,86e463ec-ff17-44a8-9e44-fcc824e15492,INV-019.pdf,application/pdf,118000,manager,2025-07-05T10:30:00Z
a8fcc35a-74e1-4bb4-bee7-806023e978c5,e7a78f35-b20f-4b04-bb4c-c74f5b5edc3c,INV-020.pdf,application/pdf,119000,manager,2025-08-05T10:30:00Z
